order_book_id,date,low,num_trades,high,open,close,volume,total_turnover
000906.XSHG,2017-03-22,3962.3582,0.0,3997.1409,3981.1212,3983.0177,17720926000.0,212197788704.4
000906.XSHG,2017-03-23,3961.8218,0.0,4005.9537,3985.3523,3994.9455,17122920800.0,211478897344.0
000906.XSHG,2017-03-24,3993.2274,0.0,4032.3062,3996.2019,4023.6135,20919365500.0,241516769168.3
000906.XSHG,2017-03-27,4004.8184,0.0,4037.9814,4022.7234,4008.6567,18449811400.0,215997836584.0
000906.XSHG,2017-03-28,3989.3421,0.0,4012.5523,4009.1679,3998.82,14545693400.0,172042481102.3
000906.XSHG,2017-03-29,3980.6125,0.0,4013.7785,4002.3931,3991.7626,19046575300.0,208809180732.3
000906.XSHG,2017-03-30,3937.1794,0.0,3991.8169,3986.3994,3949.5621,21288964600.0,224647174650.3
000906.XSHG,2017-03-31,3943.9462,0.0,3970.235,3947.7789,3969.9205,16366026300.0,182854823241.5
000906.XSHG,2017-04-05,3995.4323,0.0,4033.9736,3995.4323,4033.9736,24041399400.0,271004604767.3
000906.XSHG,2017-04-06,4027.1093,0.0,4050.5314,4039.9935,4045.7978,23423814000.0,251759724261.9
000906.XSHG,2017-04-07,4036.8315,0.0,4062.3476,4045.1386,4052.0541,24088987400.0,259705455592.3
000906.XSHG,2017-04-10,4035.7426,0.0,4057.5795,4053.0731,4039.8455,24441670200.0,273697610296.8
000906.XSHG,2017-04-11,4001.8835,0.0,4063.7622,4038.8389,4061.1722,29368388000.0,337657889243.9
000906.XSHG,2017-04-12,4035.8356,0.0,4064.4578,4058.3397,4045.1373,29599756400.0,327788634818.6
000906.XSHG,2017-04-13,4032.3087,0.0,4061.3342,4036.401,4056.4703,21769325300.0,229067989574.7
000906.XSHG,2017-04-14,4009.1799,0.0,4060.0527,4059.7059999999997,4017.7253,23298522900.0,237944319484.3
000906.XSHG,2017-04-17,3973.7521,0.0,4006.6651,4004.0269,3999.31,20469716800.0,223208119373.1
000906.XSHG,2017-04-18,3978.2201,0.0,4013.0082,3994.5461,3978.3586,19111346400.0,218208624301.3
000906.XSHG,2017-04-19,3918.6629,0.0,3972.2526,3965.3587,3952.3333,20834971100.0,222627616616.0
000906.XSHG,2017-04-20,3939.2468,0.0,3972.7012,3951.0106,3964.4939,19335836500.0,226032751027.0
000906.XSHG,2017-04-21,3946.0168,0.0,3978.3317,3963.9985,3960.1177,16529021100.0,187396364382.3
000906.XSHG,2017-04-24,3880.0739,0.0,3949.8237,3949.8237,3901.6593,18543215900.0,201364707597.4
000906.XSHG,2017-04-25,3893.5289,0.0,3928.3401,3898.9837,3913.5445,15872987700.0,181313381827.8
000906.XSHG,2017-04-26,3911.8341,0.0,3940.6001,3912.8561,3919.8697,18168605800.0,212749452794.5
000906.XSHG,2017-04-27,3860.4683,0.0,3928.3116,3908.2515,3924.0266,21265621300.0,236302873004.7
000906.XSHG,2017-04-28,3898.4988,0.0,3921.9682,3914.9156,3921.9682,16840151900.0,190467002302.3
000906.XSHG,2017-05-02,3900.2832,0.0,3919.9556,3911.1487,3912.0807,16308646600.0,185188965036.8
000906.XSHG,2017-05-03,3885.5132,0.0,3918.3469,3906.27,3897.7815,16414507100.0,183428397296.7
000906.XSHG,2017-05-04,3871.7424,0.0,3910.8042,3887.9563,3886.828,18089558800.0,196901538936.6
000906.XSHG,2017-05-05,3845.8185,0.0,3877.2604,3874.1366,3853.2895,18144732900.0,198757427907.3
000906.XSHG,2017-05-08,3801.5239,0.0,3845.1279,3839.9867,3813.1721,19093184300.0,203196624706.2
